"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","deposit"
46,"admin.","single","secondary","no",272,"no","no","cellular",31,"jul",149,4,-1,0,"unknown","no"
30,"technician","single","tertiary","no",10,"no","no","cellular",26,"aug",276,8,-1,0,"unknown","no"
34,"technician","divorced","secondary","no",-276,"yes","no","unknown",29,"may",175,3,-1,0,"unknown","no"
60,"retired","married","secondary","no",2060,"no","no","cellular",26,"mar",454,1,88,3,"other","no"
49,"technician","married","secondary","no",2400,"no","no","cellular",21,"oct",262,3,-1,0,"unknown","no"
34,"admin.","divorced","secondary","no",627,"yes","no","unknown",7,"may",283,2,-1,0,"unknown","no"
19,"student","single","primary","no",134,"no","no","cellular",27,"mar",271,2,-1,0,"unknown","yes"
28,"technician","single","secondary","no",922,"yes","no","cellular",7,"apr",304,1,-1,0,"unknown","no"
38,"unemployed","married","tertiary","no",2812,"yes","no","cellular",30,"apr",830,1,-1,0,"unknown","yes"
24,"management","single","tertiary","no",507,"no","no","cellular",3,"jul",257,1,-1,0,"unknown","yes"
29,"self-employed","single","tertiary","no",1579,"no","no","cellular",13,"oct",190,1,92,5,"success","yes"
42,"admin.","single","secondary","no",1022,"yes","no","unknown",5,"may",146,2,-1,0,"unknown","no"
46,"admin.","married","secondary","no",660,"no","no","cellular",6,"aug",740,2,-1,0,"unknown","yes"
42,"management","single","tertiary","no",525,"no","no","cellular",13,"aug",127,2,-1,0,"unknown","no"
35,"admin.","married","tertiary","no",286,"no","no","cellular",30,"apr",949,2,-1,0,"unknown","yes"
41,"management","divorced","tertiary","no",236,"no","no","cellular",3,"feb",159,2,-1,0,"unknown","no"
42,"services","married","secondary","no",737,"yes","no","unknown",14,"may",762,2,-1,0,"unknown","no"
26,"technician","single","secondary","no",84,"yes","no","cellular",29,"jul",70,3,-1,0,"unknown","no"
45,"admin.","single","secondary","no",-11,"yes","no","cellular",5,"may",247,1,-1,0,"unknown","no"
58,"admin.","married","secondary","no",169,"no","no","cellular",13,"aug",880,1,92,8,"success","yes"
37,"admin.","married","secondary","no",274,"yes","no","unknown",27,"may",731,3,-1,0,"unknown","yes"
40,"retired","married","tertiary","no",794,"no","no","unknown",9,"may",138,1,-1,0,"unknown","no"
58,"housemaid","married","tertiary","no",497,"no","no","unknown",11,"jun",138,5,-1,0,"unknown","no"
46,"admin.","married","secondary","no",171,"yes","yes","cellular",11,"oct",251,1,430,1,"failure","no"
34,"management","single","tertiary","no",0,"yes","yes","cellular",26,"may",197,2,98,1,"other","no"
49,"technician","married","tertiary","no",523,"yes","no","cellular",2,"jun",712,1,60,3,"failure","yes"
35,"management","married","tertiary","no",4943,"yes","no","cellular",18,"nov",295,1,124,2,"failure","no"
59,"retired","married","secondary","no",6888,"no","no","telephone",20,"nov",1025,2,-1,0,"unknown","yes"
26,"management","single","tertiary","no",155,"yes","no","cellular",27,"may",74,4,43,5,"other","no"
47,"housemaid","divorced","secondary","no",1453,"no","no","unknown",12,"jun",303,1,-1,0,"unknown","no"
38,"blue-collar","married","secondary","no",360,"yes","no","unknown",14,"may",220,2,-1,0,"unknown","no"
29,"technician","single","tertiary","no",2485,"no","no","telephone",24,"jul",48,6,-1,0,"unknown","no"
31,"blue-collar","married","secondary","no",369,"yes","yes","unknown",14,"may",89,2,-1,0,"unknown","no"
28,"blue-collar","single","primary","no",54,"yes","no","cellular",14,"may",533,1,371,1,"other","yes"
56,"services","married","secondary","no",642,"yes","no","cellular",30,"jan",16,1,2,3,"other","no"
40,"blue-collar","married","secondary","no",100,"yes","no","unknown",29,"may",218,2,-1,0,"unknown","no"
49,"management","married","tertiary","no",4374,"yes","no","cellular",31,"jul",68,3,-1,0,"unknown","no"
44,"entrepreneur","married","tertiary","no",121,"no","no","cellular",9,"nov",248,1,91,1,"success","yes"
42,"blue-collar","married","primary","no",807,"yes","no","cellular",19,"nov",1057,1,-1,0,"unknown","yes"
34,"blue-collar","married","secondary","no",1682,"yes","yes","cellular",28,"jul",123,3,-1,0,"unknown","no"
46,"unemployed","divorced","secondary","no",3354,"yes","no","cellular",19,"nov",522,1,174,1,"success","yes"
42,"services","divorced","secondary","no",257,"yes","no","cellular",12,"may",955,2,-1,0,"unknown","yes"
36,"technician","married","secondary","no",3579,"no","no","cellular",14,"aug",308,2,-1,0,"unknown","no"
49,"technician","divorced","secondary","no",342,"no","yes","cellular",19,"nov",58,3,-1,0,"unknown","no"
65,"retired","married","tertiary","no",1973,"no","no","telephone",21,"apr",396,3,-1,0,"unknown","yes"
27,"admin.","single","secondary","no",4590,"yes","no","cellular",10,"nov",131,4,89,3,"failure","yes"
31,"blue-collar","married","primary","no",-454,"yes","yes","unknown",28,"may",861,2,-1,0,"unknown","no"
37,"blue-collar","married","secondary","no",0,"yes","no","cellular",2,"apr",473,1,-1,0,"unknown","no"
25,"technician","divorced","secondary","no",86,"no","yes","cellular",8,"jul",483,2,-1,0,"unknown","no"
56,"admin.","married","secondary","no",292,"yes","no","unknown",28,"may",228,9,-1,0,"unknown","no"
34,"self-employed","married","tertiary","no",0,"no","no","cellular",28,"aug",730,11,-1,0,"unknown","yes"
25,"blue-collar","married","secondary","no",758,"yes","no","unknown",28,"may",504,3,-1,0,"unknown","no"
45,"unemployed","divorced","secondary","no",-44,"yes","no","cellular",7,"jul",256,2,-1,0,"unknown","no"
35,"entrepreneur","married","secondary","no",1163,"yes","no","unknown",20,"may",284,1,-1,0,"unknown","no"
35,"management","married","tertiary","no",365,"no","no","cellular",21,"nov",168,2,-1,0,"unknown","no"
47,"admin.","single","secondary","no",3531,"yes","no","cellular",7,"jul",49,6,-1,0,"unknown","no"
74,"retired","married","primary","no",0,"no","no","telephone",13,"aug",562,2,-1,0,"unknown","yes"
26,"management","single","tertiary","no",1004,"yes","no","unknown",30,"may",228,2,-1,0,"unknown","yes"
60,"retired","married","secondary","no",18967,"yes","no","cellular",29,"jan",177,2,-1,0,"unknown","yes"
53,"unemployed","married","secondary","no",582,"yes","no","unknown",8,"may",96,2,-1,0,"unknown","no"
59,"retired","married","secondary","no",25947,"no","no","cellular",13,"aug",292,2,-1,0,"unknown","no"
31,"blue-collar","married","secondary","no",136,"no","no","cellular",12,"may",228,2,267,1,"failure","yes"
33,"technician","single","tertiary","no",109,"yes","yes","cellular",25,"may",601,2,10,7,"failure","yes"
64,"retired","married","secondary","no",4787,"no","no","cellular",28,"apr",392,1,182,1,"success","yes"
31,"management","single","tertiary","no",15,"no","no","cellular",11,"aug",119,2,-1,0,"unknown","no"
28,"management","married","tertiary","no",12,"yes","no","cellular",9,"sep",202,1,-1,0,"unknown","yes"
54,"management","married","secondary","no",2895,"yes","no","cellular",9,"feb",20,2,256,1,"failure","no"
43,"blue-collar","single","primary","no",548,"yes","no","unknown",7,"may",98,1,-1,0,"unknown","no"
58,"technician","married","primary","no",4198,"no","no","cellular",15,"oct",441,5,246,5,"failure","yes"
33,"technician","single","secondary","no",2979,"no","no","cellular",5,"aug",326,2,437,1,"failure","yes"
46,"technician","divorced","secondary","no",-824,"yes","no","cellular",7,"aug",429,3,-1,0,"unknown","yes"
33,"blue-collar","single","secondary","no",1794,"yes","no","cellular",12,"may",360,1,173,1,"other","no"
32,"services","married","secondary","no",250,"yes","no","unknown",29,"may",202,1,-1,0,"unknown","no"
58,"retired","married","secondary","no",235,"no","no","cellular",27,"aug",88,4,-1,0,"unknown","no"
77,"unknown","married","unknown","no",397,"no","no","telephone",7,"may",300,3,-1,0,"unknown","yes"
22,"student","single","secondary","no",254,"no","no","cellular",13,"jan",143,2,-1,0,"unknown","yes"
33,"technician","married","secondary","no",218,"yes","yes","telephone",2,"mar",169,4,-1,0,"unknown","no"
41,"self-employed","single","tertiary","no",3950,"yes","no","unknown",30,"may",96,2,-1,0,"unknown","no"
39,"admin.","divorced","secondary","no",728,"yes","yes","cellular",18,"oct",222,1,-1,0,"unknown","yes"
27,"blue-collar","single","secondary","no",317,"yes","no","unknown",20,"may",16,10,-1,0,"unknown","no"
31,"unemployed","divorced","tertiary","no",256,"yes","no","cellular",16,"jul",873,2,-1,0,"unknown","yes"
63,"housemaid","married","secondary","no",2,"no","no","cellular",4,"feb",45,2,93,1,"success","no"
48,"technician","single","secondary","no",-92,"yes","no","cellular",3,"feb",1393,1,-1,0,"unknown","yes"
28,"management","single","tertiary","no",41,"yes","no","cellular",15,"may",885,3,352,2,"other","yes"
50,"management","married","tertiary","no",1612,"no","no","cellular",15,"jun",532,2,98,2,"other","yes"
52,"services","married","unknown","no",337,"yes","no","unknown",19,"may",85,3,-1,0,"unknown","no"
39,"admin.","single","secondary","no",6512,"no","no","unknown",20,"jun",16,6,-1,0,"unknown","no"
38,"services","married","primary","no",0,"no","no","cellular",28,"jul",33,3,-1,0,"unknown","no"
38,"management","married","tertiary","no",3436,"no","no","cellular",21,"nov",663,4,-1,0,"unknown","yes"
79,"retired","married","secondary","no",8304,"no","no","telephone",9,"mar",303,9,-1,0,"unknown","yes"
33,"blue-collar","married","primary","no",50,"yes","no","cellular",7,"may",246,2,-1,0,"unknown","no"
38,"entrepreneur","married","secondary","no",680,"yes","no","unknown",19,"may",144,2,-1,0,"unknown","no"
62,"management","married","secondary","no",4562,"yes","no","cellular",3,"mar",168,1,-1,0,"unknown","yes"
42,"unemployed","divorced","secondary","no",1713,"yes","no","unknown",30,"may",855,2,-1,0,"unknown","yes"
28,"unemployed","single","secondary","yes",-353,"yes","no","unknown",12,"may",89,3,-1,0,"unknown","no"
31,"management","single","tertiary","no",409,"no","yes","cellular",9,"jul",564,5,-1,0,"unknown","yes"
56,"management","divorced","tertiary","no",4266,"yes","no","unknown",17,"jun",490,4,-1,0,"unknown","yes"
39,"blue-collar","married","secondary","no",138,"no","no","unknown",9,"jun",61,2,-1,0,"unknown","no"
37,"unemployed","single","tertiary","no",1316,"yes","no","cellular",10,"mar",350,2,112,3,"failure","yes"
60,"management","married","tertiary","no",2281,"no","no","cellular",5,"feb",230,2,-1,0,"unknown","yes"
31,"management","divorced","tertiary","no",883,"yes","no","cellular",19,"nov",168,1,-1,0,"unknown","no"
38,"entrepreneur","married","secondary","no",593,"yes","yes","cellular",24,"jul",1484,24,-1,0,"unknown","yes"
37,"technician","married","secondary","no",3720,"yes","no","cellular",28,"jan",561,1,-1,0,"unknown","no"
48,"technician","married","secondary","no",-205,"yes","yes","cellular",9,"jul",112,1,-1,0,"unknown","no"
34,"management","married","secondary","no",369,"no","no","cellular",2,"aug",868,3,342,4,"failure","yes"
30,"technician","single","secondary","no",925,"no","no","cellular",20,"nov",240,1,-1,0,"unknown","no"
30,"admin.","married","secondary","no",1265,"yes","yes","unknown",26,"may",414,2,-1,0,"unknown","yes"
36,"technician","married","secondary","no",1368,"no","no","cellular",1,"jun",516,1,292,5,"failure","yes"
60,"management","married","unknown","no",264,"no","no","telephone",1,"feb",265,1,-1,0,"unknown","yes"
27,"services","single","secondary","no",223,"yes","yes","cellular",13,"may",297,2,-1,0,"unknown","no"
42,"technician","single","unknown","no",11115,"no","no","cellular",10,"aug",187,1,102,1,"success","yes"
30,"technician","single","secondary","no",148,"yes","yes","cellular",15,"may",115,5,-1,0,"unknown","no"
57,"housemaid","married","primary","no",625,"no","yes","unknown",11,"jun",867,1,-1,0,"unknown","yes"
39,"blue-collar","divorced","primary","no",1317,"yes","no","cellular",20,"nov",543,1,170,4,"other","yes"
30,"management","single","tertiary","no",2876,"no","no","cellular",6,"aug",103,4,-1,0,"unknown","no"
45,"entrepreneur","married","tertiary","no",219,"yes","yes","cellular",28,"jul",118,4,-1,0,"unknown","no"
59,"technician","married","secondary","no",116,"no","no","cellular",11,"feb",268,1,183,7,"success","yes"
55,"admin.","married","secondary","no",1662,"no","no","cellular",4,"jun",94,2,-1,0,"unknown","yes"
50,"admin.","married","secondary","no",2678,"no","no","telephone",30,"jul",1011,6,-1,0,"unknown","yes"
37,"admin.","single","primary","no",912,"yes","no","cellular",12,"may",637,3,328,22,"other","yes"
35,"technician","single","tertiary","no",992,"yes","no","cellular",26,"aug",79,1,114,3,"failure","no"
49,"admin.","married","secondary","no",167,"no","yes","cellular",9,"jul",51,1,-1,0,"unknown","no"
28,"blue-collar","married","secondary","no",751,"yes","no","cellular",22,"jul",598,5,-1,0,"unknown","yes"
41,"management","married","primary","no",733,"yes","no","cellular",7,"may",69,1,335,7,"failure","no"
49,"technician","married","tertiary","no",1071,"no","no","cellular",17,"jun",169,1,-1,0,"unknown","yes"
48,"management","married","tertiary","no",494,"no","no","cellular",29,"aug",81,8,-1,0,"unknown","no"
76,"self-employed","married","unknown","no",4984,"no","no","telephone",28,"apr",403,1,182,1,"success","yes"
46,"unemployed","divorced","secondary","no",41,"yes","no","unknown",12,"may",249,4,-1,0,"unknown","no"
28,"student","single","secondary","no",28,"no","no","cellular",29,"jan",220,2,-1,0,"unknown","no"
49,"services","married","secondary","no",486,"yes","yes","unknown",30,"may",43,2,-1,0,"unknown","no"
37,"management","married","tertiary","no",332,"yes","no","cellular",14,"aug",190,2,84,7,"failure","no"
69,"retired","married","secondary","no",3588,"yes","no","cellular",10,"dec",429,1,-1,0,"unknown","yes"
27,"services","married","secondary","no",511,"yes","no","unknown",30,"jun",85,5,-1,0,"unknown","no"
30,"technician","single","secondary","no",19,"yes","no","cellular",18,"aug",16,15,-1,0,"unknown","no"
31,"student","single","tertiary","no",64,"no","no","cellular",2,"jun",261,2,-1,0,"unknown","yes"
54,"management","married","tertiary","no",8295,"no","no","cellular",5,"jun",207,1,-1,0,"unknown","yes"
48,"management","married","tertiary","no",20718,"yes","no","unknown",14,"may",125,1,-1,0,"unknown","no"
30,"self-employed","married","tertiary","no",163,"yes","no","cellular",18,"may",149,1,362,8,"other","no"
29,"admin.","married","tertiary","no",167,"yes","yes","cellular",13,"oct",357,2,237,2,"failure","no"
28,"technician","single","secondary","no",2000,"no","no","telephone",3,"feb",226,2,-1,0,"unknown","no"
28,"management","single","tertiary","no",203,"no","no","cellular",29,"jan",145,2,-1,0,"unknown","no"
32,"technician","single","secondary","no",562,"yes","no","unknown",30,"may",722,3,-1,0,"unknown","yes"
43,"services","married","secondary","no",2478,"yes","no","cellular",28,"jan",347,1,230,1,"failure","no"
72,"retired","married","primary","no",2079,"no","no","cellular",13,"aug",100,1,191,3,"other","no"
54,"technician","divorced","secondary","no",136,"no","yes","cellular",10,"jul",151,4,-1,0,"unknown","no"
31,"technician","married","secondary","no",7369,"no","no","cellular",19,"aug",204,4,-1,0,"unknown","no"
29,"technician","single","secondary","no",674,"no","no","cellular",30,"apr",483,1,13,5,"success","yes"
52,"services","divorced","primary","no",130,"yes","no","unknown",29,"may",103,2,-1,0,"unknown","no"
56,"management","married","tertiary","no",6798,"yes","no","cellular",17,"nov",250,1,-1,0,"unknown","no"
42,"housemaid","married","primary","yes",16,"no","no","unknown",11,"jun",79,1,-1,0,"unknown","no"
39,"technician","married","secondary","no",3494,"yes","no","cellular",19,"nov",139,1,92,4,"failure","no"
38,"blue-collar","married","primary","no",190,"yes","no","telephone",19,"nov",623,1,175,1,"other","yes"
29,"student","single","unknown","no",2929,"no","no","cellular",11,"aug",91,1,-1,0,"unknown","no"
35,"unemployed","married","secondary","yes",1054,"yes","yes","cellular",21,"nov",106,1,-1,0,"unknown","no"
34,"services","single","tertiary","no",3119,"no","no","cellular",16,"oct",306,1,-1,0,"unknown","yes"
40,"management","married","secondary","no",99,"no","no","cellular",9,"feb",15,5,-1,0,"unknown","no"
31,"technician","married","secondary","no",4,"no","no","unknown",20,"may",199,4,-1,0,"unknown","no"
48,"admin.","married","secondary","no",1060,"yes","no","cellular",20,"apr",87,2,318,3,"failure","no"
56,"services","married","secondary","no",1989,"no","no","cellular",3,"aug",279,4,181,4,"success","yes"
31,"technician","married","secondary","no",589,"yes","yes","unknown",21,"may",151,1,-1,0,"unknown","no"
32,"self-employed","married","secondary","no",409,"no","no","cellular",3,"jun",115,2,86,2,"success","yes"
31,"management","married","tertiary","no",141,"yes","no","cellular",4,"feb",572,2,238,7,"other","yes"
39,"management","married","tertiary","no",1363,"no","no","cellular",21,"aug",294,3,-1,0,"unknown","no"
30,"management","single","tertiary","no",552,"yes","no","cellular",5,"aug",648,2,-1,0,"unknown","no"
26,"services","single","secondary","no",37,"no","yes","cellular",2,"feb",219,5,-1,0,"unknown","no"
49,"services","married","secondary","no",7019,"yes","no","cellular",2,"jun",263,1,368,3,"failure","yes"
45,"management","married","tertiary","no",506,"no","no","cellular",23,"apr",229,2,-1,0,"unknown","yes"
25,"student","single","secondary","no",348,"no","no","cellular",10,"aug",245,1,-1,0,"unknown","yes"
34,"technician","single","secondary","no",4943,"yes","yes","cellular",19,"nov",117,2,-1,0,"unknown","no"
41,"self-employed","married","tertiary","no",231,"no","no","cellular",7,"aug",352,2,-1,0,"unknown","yes"
30,"management","single","secondary","no",186,"yes","no","cellular",20,"nov",235,3,-1,0,"unknown","no"
26,"student","single","secondary","no",620,"no","no","cellular",17,"feb",104,1,-1,0,"unknown","yes"
31,"management","married","tertiary","no",10884,"no","no","cellular",10,"aug",294,3,98,2,"success","yes"
32,"blue-collar","married","secondary","no",4996,"yes","no","unknown",20,"may",205,2,-1,0,"unknown","no"
60,"retired","divorced","tertiary","no",439,"no","yes","cellular",25,"may",464,1,321,1,"failure","yes"
28,"admin.","single","secondary","no",520,"yes","no","cellular",15,"jun",29,1,-1,0,"unknown","no"
31,"technician","married","tertiary","no",3338,"yes","no","cellular",21,"dec",264,2,-1,0,"unknown","yes"
49,"management","single","tertiary","no",7443,"no","no","telephone",19,"jun",293,5,211,2,"failure","yes"
38,"blue-collar","married","primary","no",132,"yes","no","cellular",14,"may",797,2,-1,0,"unknown","no"
33,"technician","single","tertiary","no",258,"no","no","cellular",12,"mar",80,4,-1,0,"unknown","yes"
41,"management","divorced","secondary","no",0,"no","no","cellular",6,"aug",438,2,-1,0,"unknown","no"
56,"blue-collar","married","primary","no",0,"no","no","cellular",7,"aug",152,6,-1,0,"unknown","no"
33,"management","single","tertiary","no",1150,"yes","no","telephone",12,"may",109,2,-1,0,"unknown","no"
45,"entrepreneur","married","primary","no",488,"yes","no","telephone",28,"jul",90,11,-1,0,"unknown","no"
54,"admin.","married","secondary","no",66,"yes","no","cellular",11,"nov",167,1,-1,0,"unknown","yes"
32,"management","married","tertiary","no",578,"no","yes","cellular",22,"jul",29,2,-1,0,"unknown","no"
57,"management","divorced","unknown","no",0,"no","no","unknown",13,"may",95,1,-1,0,"unknown","no"
30,"management","single","tertiary","no",265,"no","no","cellular",25,"nov",295,1,93,3,"success","no"
28,"services","single","secondary","no",168,"no","no","cellular",12,"jan",387,1,194,1,"other","yes"
35,"admin.","married","secondary","no",1345,"yes","no","cellular",23,"jul",135,1,-1,0,"unknown","no"
31,"services","single","secondary","no",181,"no","no","cellular",30,"apr",325,1,-1,0,"unknown","yes"
28,"technician","single","secondary","yes",-1042,"yes","no","unknown",6,"jun",712,2,-1,0,"unknown","yes"
44,"blue-collar","married","primary","no",4031,"yes","no","cellular",7,"may",983,4,-1,0,"unknown","yes"
73,"retired","married","primary","no",279,"no","no","cellular",28,"jan",399,3,-1,0,"unknown","yes"
